Date Sold,Number Sold,Total Weight,Average Weight,Dead Weights,P2
27/08/2020,50,6378.779841,127.5755968,96.192,14.62
01/09/2020,111,13958.75332,125.7545344,94.81891892,13.44
08/09/2020,180,22720.68966,126.2260536,95.17444444,13.04
11/09/2020,180,22603.71353,125.5761863,94.68444444,12.63
18/09/2020,180,23350.39788,129.7244327,97.81222222,13.89
15/09/2020,180,22111.27321,122.8404067,92.62166667,13.31
25/09/2020,179,22821.75066,127.4958138,96.13184358,13.02
22/09/2020,180,22100.66313,122.7814618,92.57722222,12.61
01/10/2020,172,18472.41379,107.3977546,80.97790698,10.62
29/09/2020,370,42600.66313,115.1369274,86.81324324,11.3
30/09/2020,185,21281.29973,115.0340526,86.73567568,11.54
