Date Sold,Number Sold,Total Weight,Average Weight,Dead Weights,P2
30/06/2020,50,5304.64191,106.0928382,79.994,9.96
15/07/2020,168,19511.27321,116.138531,87.56845238,10.36
23/07/2020,210,25425.99469,121.0761652,91.29142857,11.06
29/07/2020,210,25046.9496,119.2711886,89.93047619,10.3
11/08/2020,180,23122.28117,128.4571176,96.85666667,11.88
04/08/2020,210,25292.70557,120.4414551,90.81285714,10
17/08/2020,132,16680.6366,126.3684591,95.28181818,10.96
24/08/2020,89,11593.8992,130.2685304,98.22247191,10.61
26/08/2020,180,22713.92573,126.1884763,95.14611111,10.92
31/08/2020,100,12441.24668,124.4124668,93.807,11.37
04/09/2020,144,15111.00796,104.9375553,79.12291667,8.65
02/09/2020,164,18924.27056,115.3918936,87.0054878,9.56
