Date Sold,Number Sold,Total Weight,Average Weight,Dead Weights,P2
02/10/2020,10,1233.687003,123.3687003,93.02,14.9
09/10/2020,130,16231.96286,124.8612528,94.14538462,12.06
12/10/2020,180,21859.28382,121.4404657,91.56611111,12.79
15/10/2020,104,12634.74801,121.4879616,91.60192308,12.38
20/10/2020,220,27589.92042,125.4087292,94.55818182,11.91
23/10/2020,68,8444.429708,124.1827898,93.63382353,12.25
28/10/2020,135,17665.51724,130.8556833,98.66518519,11.22
27/10/2020,181,22926.25995,126.6644196,95.50497238,12.36
02/11/2020,400,51393.3687,128.4834218,96.8765,11.89
03/11/2020,245,29768.03714,121.5021924,91.61265306,11.34
06/11/2020,175,19508.75332,111.4785904,84.05485714,11.51
04/11/2020,180,20267.63926,112.5979959,84.89888889,11.43
