Sow,Date Served,Date Farrowed,Numbers Born Alive,Weaning Date,Numbers Weaned,Sow Parity,Farm
PPWQ2373,09-Mar-20,05-Jul-20,14,05-Aug-20,14,1,HW
PPWQ2232,09-Mar-20,05-Jul-20,16,05-Aug-20,14,1,HW
PPWQ1975,09-Mar-20,05-Jul-20,18,05-Aug-20,14,1,HW
ZNEZ1367,23-Mar-20,13-Jul-20,11,19-Aug-20,16,5,HW
KPWK3492,23-Mar-20,13-Jul-20,14,19-Aug-20,16,8,HW
KPWK3653,23-Mar-20,13-Jul-20,14,23-Jul-20,0,8,HW
KPWK9743,23-Mar-20,13-Jul-20,17,19-Aug-20,16,6,HW
KPWN5892,23-Mar-20,13-Jul-20,18,19-Aug-20,16,4,HW
KPWN7220,23-Mar-20,13-Jul-20,19,19-Aug-20,16,3,HW
KPWN5946,23-Mar-20,13-Jul-20,21,19-Aug-20,16,4,HW
