,Run,Total Pigs Sold,Overweight,No Penalty,-10p/kg,-20p/kg,-25p/kg,-30p/kg,-35p/kg,-45p/kg,-50p/kg
120,121,4000,60,3940,0,0,0,0,0,0,0
121,122,4000,40,3960,0,0,0,0,0,0,0
122,123,4000,75,3925,0,0,0,0,0,0,0
123,124,4000,73,3927,0,0,0,0,0,0,0
124,125,4000,62,3938,0,0,0,0,0,0,0
125,126,4000,70,3930,0,0,0,0,0,0,0
126,127,4000,83,3917,0,0,0,0,0,0,0
127,128,4000,56,3944,0,0,0,0,0,0,0
128,129,4000,59,3941,0,0,0,0,0,0,0
129,130,4000,54,3946,0,0,0,0,0,0,0
130,131,4000,64,3936,0,0,0,0,0,0,0
131,132,4000,56,3944,0,0,0,0,0,0,0
132,133,4000,53,3947,0,0,0,0,0,0,0
133,134,4000,66,3934,0,0,0,0,0,0,0
134,135,4000,65,3935,0,0,0,0,0,0,0
135,136,4000,56,3944,0,0,0,0,0,0,0
136,137,4000,58,3942,0,0,0,0,0,0,0
137,138,4000,42,3958,0,0,0,0,0,0,0
138,139,4000,48,3952,0,0,0,0,0,0,0
139,140,4000,70,3930,0,0,0,0,0,0,0
140,141,4000,72,3928,0,0,0,0,0,0,0
141,142,4000,57,3943,0,0,0,0,0,0,0
142,143,4000,78,3922,0,0,0,0,0,0,0
143,144,4000,63,3937,0,0,0,0,0,0,0
144,145,4000,67,3933,0,0,0,0,0,0,0
145,146,4000,66,3934,0,0,0,0,0,0,0
146,147,4000,57,3943,0,0,0,0,0,0,0
147,148,4000,61,3939,0,0,0,0,0,0,0
148,149,4000,64,3936,0,0,0,0,0,0,0
149,150,4000,67,3933,0,0,0,0,0,0,0
150,151,4000,73,3927,0,0,0,0,0,0,0
151,152,4000,70,3930,0,0,0,0,0,0,0
152,153,4000,54,3946,0,0,0,0,0,0,0
153,154,4000,68,3932,0,0,0,0,0,0,0
154,155,4000,72,3928,0,0,0,0,0,0,0
155,156,4000,69,3931,0,0,0,0,0,0,0
156,157,4000,66,3934,0,0,0,0,0,0,0
157,158,4000,64,3936,0,0,0,0,0,0,0
158,159,4000,58,3942,0,0,0,0,0,0,0
159,160,4000,57,3943,0,0,0,0,0,0,0
160,161,4000,60,3940,0,0,0,0,0,0,0
161,162,4000,57,3943,0,0,0,0,0,0,0
162,163,4000,74,3926,0,0,0,0,0,0,0
163,164,4000,62,3938,0,0,0,0,0,0,0
164,165,4000,70,3930,0,0,0,0,0,0,0
165,166,4000,59,3941,0,0,0,0,0,0,0
166,167,4000,70,3930,0,0,0,0,0,0,0
167,168,4000,58,3942,0,0,0,0,0,0,0
168,169,4000,55,3945,0,0,0,0,0,0,0
169,170,4000,64,3936,0,0,0,0,0,0,0
170,171,4000,62,3938,0,0,0,0,0,0,0
171,172,4000,67,3933,0,0,0,0,0,0,0
172,173,4000,56,3944,0,0,0,0,0,0,0
173,174,4000,85,3915,0,0,0,0,0,0,0
174,175,4000,52,3948,0,0,0,0,0,0,0
175,176,4000,46,3954,0,0,0,0,0,0,0
176,177,4000,75,3925,0,0,0,0,0,0,0
177,178,4000,65,3935,0,0,0,0,0,0,0
178,179,4000,70,3930,0,0,0,0,0,0,0
179,180,4000,66,3934,0,0,0,0,0,0,0
180,181,4000,57,3943,0,0,0,0,0,0,0
181,182,4000,58,3942,0,0,0,0,0,0,0
182,183,4000,60,3940,0,0,0,0,0,0,0
183,184,4000,59,3941,0,0,0,0,0,0,0
184,185,4000,75,3925,0,0,0,0,0,0,0
185,186,4000,70,3930,0,0,0,0,0,0,0
186,187,4000,71,3929,0,0,0,0,0,0,0
187,188,4000,57,3943,0,0,0,0,0,0,0
188,189,4000,60,3940,0,0,0,0,0,0,0
189,190,4000,65,3935,0,0,0,0,0,0,0
190,191,4000,66,3934,0,0,0,0,0,0,0
191,192,4000,52,3948,0,0,0,0,0,0,0
192,193,4000,62,3938,0,0,0,0,0,0,0
193,194,4000,79,3921,0,0,0,0,0,0,0
194,195,4000,73,3927,0,0,0,0,0,0,0
195,196,4000,51,3949,0,0,0,0,0,0,0
196,197,4000,66,3934,0,0,0,0,0,0,0
197,198,4000,65,3935,0,0,0,0,0,0,0
198,199,4000,60,3940,0,0,0,0,0,0,0
199,200,4000,52,3948,0,0,0,0,0,0,0
200,201,4000,56,3944,0,0,0,0,0,0,0
201,202,4000,56,3944,0,0,0,0,0,0,0
