,pigID,weight,backFat,farm,dayInseminated,birthingDate,aliveBooelan,sowNumber,sowParity,initialAge,growth_constant,earning,aliveBoolean,liveWeight,deathDate
14955,14956.0,169.90991589653615,20.961160244716403,2.0,71.0,188.0,,185.0,0.0,0.0,0.03369233307835999,11000.0,1.0,225.34471604315138,183.0
21076,21077.0,169.57263063610367,20.9216080036864,2.0,106.0,223.0,,193.0,0.0,0.0,0.03352266268328452,11000.0,1.0,224.89738811154334,183.0
30533,30534.0,169.44537509299235,20.906685199449157,1.0,176.0,289.0,,34.0,0.0,0.0,0.03345990616053776,11000.0,1.0,224.72861418168745,183.0
4668,4669.0,169.14486607714068,20.871445577618623,3.0,1.0,117.0,,292.0,0.0,67.0,0.03331432713500449,11000.0,1.0,224.33006111026614,183.0
17727,17728.0,168.70625732154497,20.820011491240386,3.0,71.0,186.0,,358.0,0.0,0.0,0.03310813308105984,11000.0,1.0,223.74835188533814,183.0
7521,7522.0,168.61576099844152,20.809399309791587,1.0,36.0,150.0,,96.0,0.0,34.0,0.03306647628658761,11000.0,1.0,223.62833023665985,183.0
11876,11877.0,168.58867843301337,20.806223433816008,3.0,36.0,153.0,,368.0,0.0,31.0,0.033054066949186084,11000.0,1.0,223.59241171487184,183.0
13438,13439.0,168.55520080191914,20.80229763126995,1.0,71.0,187.0,,90.0,0.0,0.0,0.03303876346860568,11000.0,1.0,223.54801167363283,183.0
16592,16593.0,168.53186409815908,20.799561019148868,3.0,71.0,188.0,,288.0,0.0,0.0,0.03302811916719947,11000.0,1.0,223.51706113814203,183.0
26512,26513.0,168.3808856042008,20.781856308970525,2.0,141.0,255.0,,158.0,0.0,0.0,0.03295971643084425,11000.0,1.0,223.3168244087544,183.0
278,279.0,168.310500442683,20.77360249180188,1.0,1.0,113.0,,18.0,0.0,71.0,0.032928097114561176,11000.0,1.0,223.22347538817374,183.0
5687,5688.0,168.1707528005352,20.757214783609363,3.0,1.0,118.0,,356.0,0.0,66.0,0.03286581636037888,11000.0,1.0,223.03813368771247,183.0
26873,26874.0,168.0775138834866,20.74628098793815,2.0,141.0,256.0,,180.0,0.0,0.0,0.03282462586766155,11000.0,1.0,222.91447464653396,183.0
22655,22656.0,168.06831258485175,20.74520198442365,3.0,106.0,218.0,,291.0,0.0,0.0,0.032820576525339686,11000.0,1.0,222.90227133269462,183.0
22930,22931.0,168.02780610841907,20.740451934222563,3.0,106.0,218.0,,309.0,0.0,0.0,0.03280278325003219,11000.0,1.0,222.8485492154099,183.0
27610,27611.0,167.97579522018552,20.734352802630035,2.0,141.0,252.0,,226.0,0.0,0.0,0.032780014808367876,11000.0,1.0,222.7795692575405,183.0
2842,2843.0,167.9478896162726,20.731080411863132,2.0,1.0,115.0,,178.0,0.0,69.0,0.032767834866547246,11000.0,1.0,222.74255917277532,183.0
2056,2057.0,167.9111442404274,20.726771412530333,2.0,1.0,115.0,,129.0,0.0,69.0,0.03275183485870733,11000.0,1.0,222.69382525255625,183.0
27058,27059.0,167.78966343844863,20.7125257916152,2.0,141.0,256.0,,192.0,0.0,0.0,0.032699244919001016,11000.0,1.0,222.53271013056846,183.0
20122,20123.0,167.71186335206593,20.70340245262073,2.0,106.0,221.0,,133.0,0.0,0.0,0.03266580882967832,11000.0,1.0,222.42952699212987,183.0
6413,6414.0,167.65306801099462,20.696507732411163,1.0,36.0,153.0,,26.0,0.0,31.0,0.032640665220382205,11000.0,1.0,222.35154908619975,183.0
2964,2965.0,167.63133618919233,20.693959319080435,2.0,1.0,118.0,,186.0,0.0,66.0,0.03263139867038167,11000.0,1.0,222.32272704136912,183.0
15032,15033.0,167.52021251416835,20.680928241549644,2.0,71.0,185.0,,190.0,0.0,0.0,0.03258424047556346,11000.0,1.0,222.17534816202698,183.0
15677,15678.0,167.48759515814635,20.67710332039688,2.0,71.0,189.0,,230.0,0.0,0.0,0.03257046947013987,11000.0,1.0,222.1320890691596,183.0
32326,32327.0,167.46315278398447,20.674237050246333,2.0,176.0,291.0,,146.0,0.0,0.0,0.03256017087859331,11000.0,1.0,222.09967212730035,183.0
18720,18721.0,167.4492235296545,20.67260361620916,1.0,106.0,221.0,,46.0,0.0,0.0,0.03255430990230782,11000.0,1.0,222.0811983151916,183.0
20990,20991.0,167.429530282308,20.670294259243157,2.0,106.0,219.0,,187.0,0.0,0.0,0.03254603350705332,11000.0,1.0,222.05507995001062,183.0
21609,21610.0,167.42667234454865,20.66995911906252,2.0,106.0,221.0,,226.0,0.0,0.0,0.03254483337409354,11000.0,1.0,222.0512895816295,183.0
4652,4653.0,167.42282318193313,20.669507741473893,3.0,1.0,114.0,,291.0,0.0,70.0,0.032543217380454466,11000.0,1.0,222.04618459142324,183.0
22097,22098.0,167.41895304343348,20.66905390411806,3.0,106.0,222.0,,257.0,0.0,0.0,0.03254159302473404,11000.0,1.0,222.041051781742,183.0
13111,13112.0,167.30640970645936,20.655856347887422,1.0,71.0,186.0,,70.0,0.0,0.0,0.03249455054613039,11000.0,1.0,221.89179006161717,183.0
5727,5728.0,167.27860374128753,20.652595641400765,3.0,1.0,114.0,,358.0,0.0,70.0,0.03248298508895996,11000.0,1.0,221.8549121237235,183.0
20308,20309.0,167.2680847254502,20.65136211388384,2.0,106.0,219.0,,145.0,0.0,0.0,0.03247861574191903,11000.0,1.0,221.84096117433714,183.0
2799,2800.0,167.2541392804824,20.649726781228246,2.0,1.0,117.0,,175.0,0.0,67.0,0.03247282809616972,11000.0,1.0,221.82246588923397,183.0
22548,22549.0,167.21082780651454,20.644647798958026,3.0,106.0,223.0,,285.0,0.0,0.0,0.0324548888644777,11000.0,1.0,221.76502361606703,183.0
27866,27867.0,167.18235993496955,20.641309473068794,2.0,141.0,255.0,,242.0,0.0,0.0,0.03244312719574217,11000.0,1.0,221.727267818262,183.0
5690,5691.0,167.16379047633225,20.639131898801608,3.0,1.0,118.0,,356.0,0.0,66.0,0.03243546765780117,11000.0,1.0,221.70263988903483,183.0
34748,34749.0,167.00664081368285,20.62070351765349,3.0,176.0,290.0,,297.0,0.0,0.0,0.03237103915916206,11000.0,1.0,221.49421858578626,183.0
35621,35622.0,166.96085687778537,20.61533459858007,3.0,176.0,290.0,,352.0,0.0,0.0,0.03235239929216574,11000.0,1.0,221.43349718539173,183.0
35018,35019.0,166.95044948382247,20.61411416056275,3.0,176.0,293.0,,314.0,0.0,0.0,0.03234817030669731,11000.0,1.0,221.41969427562663,183.0
5590,5591.0,166.9372879980439,20.612570760008687,3.0,1.0,118.0,,350.0,0.0,66.0,0.03234282651693512,11000.0,1.0,221.40223872419614,183.0
19885,19886.0,166.93693630359752,20.612529518053748,1.0,106.0,222.0,,118.0,0.0,0.0,0.032342683788821325,11000.0,1.0,221.40177228593836,183.0
30205,30206.0,166.85249118044567,20.602626939267985,1.0,176.0,290.0,,13.0,0.0,0.0,0.03230851224281646,11000.0,1.0,221.28977610138682,183.0
17020,17021.0,166.795790920521,20.595977901761486,3.0,71.0,187.0,,314.0,0.0,0.0,0.03228567761874172,11000.0,1.0,221.2145768176671,183.0
25036,25037.0,166.76329378093243,20.59216707796164,1.0,141.0,256.0,,65.0,0.0,0.0,0.032272629605772256,11000.0,1.0,221.17147716304035,183.0
