,pigID,weight,backFat,farm,dayInseminated,birthingDate,aliveBooelan,sowNumber,sowParity,initialAge,growth_constant,earning,aliveBoolean,liveWeight,deathDate
26288,26289.0,173.78393398984701,21.4154525466828,2.0,141.0,254.0,,144.0,0.0,0.0,0.0349659188765712,11000.0,1.0,230.48267107406764,189.0
7805,7806.0,172.8260595403106,21.303126022078786,1.0,36.0,152.0,,113.0,0.0,38.0,0.034288470130917445,11000.0,1.0,229.21228055744112,189.0
10645,10646.0,172.69036605696348,21.287213730647302,3.0,36.0,151.0,,291.0,0.0,39.0,0.034198869876845596,11000.0,1.0,229.03231572541574,189.0
12149,12150.0,172.41260538978605,21.254641726632748,1.0,71.0,185.0,,10.0,0.0,5.0,0.03401985004269449,11000.0,1.0,228.66393287770032,189.0
20839,20840.0,172.0640525686716,21.213768178898327,2.0,106.0,222.0,,178.0,0.0,0.0,0.03380306264076097,11000.0,1.0,228.20166123165993,189.0
4455,4456.0,171.79208238037646,21.181875203715748,3.0,1.0,117.0,,279.0,0.0,73.0,0.03363957830790743,11000.0,1.0,227.84095806415976,189.0
12969,12970.0,171.78955918949345,21.18157931810888,1.0,71.0,185.0,,61.0,0.0,5.0,0.033638083800448436,11000.0,1.0,227.8376116571531,189.0
27093,27094.0,171.7294256439722,21.174527671430354,2.0,141.0,255.0,,194.0,0.0,0.0,0.03360258408145328,11000.0,1.0,227.75785894426022,189.0
1914,1915.0,171.7176385132076,21.173145436593124,1.0,1.0,115.0,,120.0,0.0,75.0,0.03359565195490225,11000.0,1.0,227.74222614483764,189.0
19193,19194.0,171.52194003854302,21.150196573576665,1.0,106.0,222.0,,75.0,0.0,0.0,0.033481799378013835,11000.0,1.0,227.48267909621092,189.0
1436,1437.0,171.32889676749593,21.127559076830188,1.0,1.0,116.0,,90.0,0.0,74.0,0.033371718378687174,11000.0,1.0,227.22665353779303,189.0
17541,17542.0,171.2525612444484,21.118607481961043,3.0,71.0,185.0,,347.0,0.0,5.0,0.03332877934417467,11000.0,1.0,227.12541279104562,189.0
6692,6693.0,171.23785573799174,21.1168830196021,1.0,36.0,151.0,,44.0,0.0,39.0,0.033320545133898816,11000.0,1.0,227.10590946683254,189.0
31157,31158.0,170.64953251457908,21.04789245088846,1.0,176.0,292.0,,73.0,0.0,0.0,0.03300066193925985,11000.0,1.0,226.32563993976004,189.0
26038,26039.0,170.4949955152802,21.029770447464756,2.0,141.0,254.0,,128.0,0.0,0.0,0.03291957370005663,11000.0,1.0,226.12068370726817,189.0
3563,3564.0,170.41780433842888,21.020718513122006,2.0,1.0,115.0,,223.0,0.0,75.0,0.032879503739370035,11000.0,1.0,226.01830814115237,189.0
27984,27985.0,170.3402960105356,21.011629387606305,2.0,141.0,256.0,,250.0,0.0,0.0,0.03283955411710552,11000.0,1.0,225.9155119503125,189.0
20173,20174.0,170.10060540619722,20.98352172424959,2.0,106.0,218.0,,136.0,0.0,0.0,0.03271777472728055,11000.0,1.0,225.5976199021183,189.0
17138,17139.0,170.09152080015141,20.982456404859334,3.0,71.0,183.0,,322.0,0.0,7.0,0.03271321046482763,11000.0,1.0,225.58557135298597,189.0
13156,13157.0,169.9582958340199,20.966833587648495,1.0,71.0,185.0,,73.0,0.0,5.0,0.03264669664131738,11000.0,1.0,225.40888041647202,189.0
32232,32233.0,169.94723675734508,20.965536729120934,2.0,176.0,290.0,,140.0,0.0,0.0,0.03264121036912833,11000.0,1.0,225.39421320602796,189.0
33014,33015.0,169.91569916092027,20.96183842752987,2.0,176.0,290.0,,189.0,0.0,0.0,0.03262559417132112,11000.0,1.0,225.35238615506665,189.0
17289,17290.0,169.86786745327993,20.956229373558635,3.0,71.0,185.0,,331.0,0.0,5.0,0.03260199187439137,11000.0,1.0,225.28894887702907,189.0
7086,7087.0,169.82648279295773,20.95137634186105,1.0,36.0,148.0,,68.0,0.0,42.0,0.032581650119485835,11000.0,1.0,225.23406205962564,189.0
29213,29214.0,169.75396842010855,20.942872839664147,3.0,141.0,256.0,,326.0,0.0,0.0,0.032546182848717665,11000.0,1.0,225.1378891513376,189.0
20347,20348.0,169.61898371105403,20.927043663669195,2.0,106.0,219.0,,147.0,0.0,0.0,0.03248074776681264,11000.0,1.0,224.95886433826794,189.0
26866,26867.0,169.61036388567723,20.926032847452376,2.0,141.0,253.0,,180.0,0.0,0.0,0.03247659483178736,11000.0,1.0,224.947432209121,189.0
6101,6102.0,169.546491838351,20.91854279998428,1.0,36.0,153.0,,7.0,0.0,37.0,0.03244591660662588,11000.0,1.0,224.86272127102254,189.0
27146,27147.0,169.53521724234332,20.91722066827227,2.0,141.0,256.0,,197.0,0.0,0.0,0.03244051856034123,11000.0,1.0,224.84776822591954,189.0
35575,35576.0,169.4859073320237,20.911438270738415,3.0,176.0,292.0,,349.0,0.0,0.0,0.032416970284570724,11000.0,1.0,224.7823704668749,189.0
25993,25994.0,169.45692488953253,20.908039602947305,1.0,141.0,255.0,,125.0,0.0,0.0,0.03240317509046083,11000.0,1.0,224.74393221423412,189.0
3950,3951.0,169.41073797357154,20.90262342783732,2.0,1.0,113.0,,247.0,0.0,77.0,0.0323812600457928,11000.0,1.0,224.68267635752196,189.0
2214,2215.0,169.40777990911832,20.90227654615596,2.0,1.0,115.0,,139.0,0.0,75.0,0.03237985937062969,11000.0,1.0,224.67875319511714,189.0
15510,15511.0,169.362826530775,20.897005023608344,2.0,71.0,186.0,,220.0,0.0,4.0,0.032358615975450644,11000.0,1.0,224.61913332994033,189.0
31431,31432.0,169.30105135716164,20.88976086905118,1.0,176.0,291.0,,90.0,0.0,0.0,0.03232955250149593,11000.0,1.0,224.53720339146105,189.0
5424,5425.0,169.29001986016564,20.88846724469432,3.0,1.0,117.0,,340.0,0.0,73.0,0.03232437814018286,11000.0,1.0,224.52257275884037,189.0
34856,34857.0,169.28676245071352,20.88808525989125,3.0,176.0,291.0,,304.0,0.0,0.0,0.03232285114394584,11000.0,1.0,224.51825258715323,189.0
5806,5807.0,169.25227215710453,20.88404070601935,3.0,1.0,115.0,,363.0,0.0,75.0,0.03230670809479097,11000.0,1.0,224.47250949218108,189.0
10186,10187.0,169.21805625565372,20.880028329138405,3.0,36.0,150.0,,262.0,0.0,40.0,0.03229073875736839,11000.0,1.0,224.42713031253808,189.0
2193,2194.0,169.19269849286061,20.87705471462383,2.0,1.0,117.0,,138.0,0.0,73.0,0.03227893265786112,11000.0,1.0,224.39349932740134,189.0
16481,16482.0,169.16313749217306,20.87358820137394,3.0,71.0,182.0,,281.0,0.0,8.0,0.03226520055713253,11000.0,1.0,224.3542937561977,189.0
34550,34551.0,169.13954995715773,20.870822175165046,3.0,176.0,291.0,,285.0,0.0,0.0,0.03225426712833417,11000.0,1.0,224.32301055325956,189.0
3019,3020.0,169.11610141950672,20.868072448681936,2.0,1.0,110.0,,189.0,0.0,80.0,0.03224341896938434,11000.0,1.0,224.29191169695852,189.0
4858,4859.0,169.09224193001816,20.86527453134071,3.0,1.0,114.0,,304.0,0.0,76.0,0.03223240193259852,11000.0,1.0,224.26026781169517,189.0
20302,20303.0,169.0559337163122,20.86101679645474,2.0,106.0,222.0,,144.0,0.0,0.0,0.0322156776623657,11000.0,1.0,224.2121136821117,189.0
26867,26868.0,169.0090127773438,20.85551454508137,2.0,141.0,253.0,,180.0,0.0,0.0,0.03219413767817784,11000.0,1.0,224.14988432008462,189.0
34406,34407.0,168.97804930383617,20.85188356883969,3.0,176.0,292.0,,276.0,0.0,0.0,0.03217996790051465,11000.0,1.0,224.10881870535303,189.0
10220,10221.0,168.97790807201588,20.851867007087208,3.0,36.0,152.0,,264.0,0.0,38.0,0.0321799033496851,11000.0,1.0,224.1086313952465,189.0
26583,26584.0,168.96591446459828,20.850460559468388,2.0,141.0,257.0,,162.0,0.0,0.0,0.03217442427575593,11000.0,1.0,224.09272475410913,189.0
17632,17633.0,168.88768429366664,20.84128678599089,3.0,71.0,186.0,,353.0,0.0,4.0,0.032138815217377374,11000.0,1.0,223.98897121175946,189.0
2149,2150.0,168.83860461529392,20.835531386937326,2.0,1.0,114.0,,135.0,0.0,76.0,0.03211658833962574,11000.0,1.0,223.92387880012456,189.0
