,pigID,weight,backFat,farm,dayInseminated,birthingDate,aliveBooelan,sowNumber,sowParity,initialAge,growth_constant,earning,aliveBoolean,liveWeight,deathDate
25883,25884.0,169.5787782674492,20.922328914515504,1.0,141.0,257.0,,118.0,0.0,0.0,0.03389616138726106,11000.0,1.0,224.9055414687655,181.0
30785,30786.0,169.10069999046664,20.866266377960613,1.0,176.0,291.0,,50.0,0.0,0.0,0.033661114025741345,11000.0,1.0,224.27148539849685,181.0
16569,16570.0,168.93100554904538,20.846366915292315,3.0,71.0,187.0,,286.0,0.0,0.0,0.03357987720914002,11000.0,1.0,224.04642645761987,181.0
9973,9974.0,168.58329698742952,20.80559237086191,2.0,36.0,148.0,,249.0,0.0,34.0,0.03341681536218423,11000.0,1.0,223.5852745191373,181.0
24185,24186.0,168.36179821403655,20.779617998718123,1.0,141.0,256.0,,12.0,0.0,0.0,0.03331522579099068,11000.0,1.0,223.29150956768774,181.0
30926,30927.0,168.34892853721794,20.778108817561332,1.0,176.0,290.0,,58.0,0.0,0.0,0.033309376127129815,11000.0,1.0,223.274441030793,181.0
23385,23386.0,167.99667651769744,20.73680147800693,3.0,106.0,224.0,,337.0,0.0,0.0,0.03315145631713651,11000.0,1.0,222.80726328607088,181.0
910,911.0,167.84960997148056,20.71955550800527,1.0,1.0,114.0,,57.0,0.0,68.0,0.03308674145412334,11000.0,1.0,222.6122148162872,181.0
1659,1660.0,167.72190725715137,20.7045802655922,1.0,1.0,116.0,,104.0,0.0,66.0,0.03303111052127987,11000.0,1.0,222.44284782115565,181.0
32908,32909.0,167.66266233899037,20.697632825078784,2.0,176.0,289.0,,182.0,0.0,0.0,0.03300547649937177,11000.0,1.0,222.36427365913843,181.0
31925,31926.0,167.64303724396353,20.695331460092532,1.0,176.0,293.0,,121.0,0.0,0.0,0.03299700930365981,11000.0,1.0,222.33824568164925,181.0
32418,32419.0,167.6164971189286,20.69221919416961,2.0,176.0,291.0,,152.0,0.0,0.0,0.032985577665714895,11000.0,1.0,222.3030465768284,181.0
