"[1, 257]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,rev,sold,0
"[51, 13114]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,433821844.2,39342,39118
"[52, 13371]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,294162000,26742,26742
"[53, 13628]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,299816000,27256,27256
"[54, 13885]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,305470000,27770,27770
"[55, 14142]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,311124000,28284,28284
"[56, 14400]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,316800000,28800,28800
"[57, 14657]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,322454000,29314,29314
"[58, 14914]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,328108000,29828,29828
"[59, 15171]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,435160391.3,42000,26830
"[60, 15428]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,440834939.8,42000,26573
"[61, 15685]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,448328801.1,42000,26317
"[62, 15942]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,519962366.3,47826,31890
"[63, 16200]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,529815694.6,48000,31812
"[64, 16457]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,538780218.9,48000,31581
"[65, 16714]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,386313523.1,33428,16807
"[66, 16971]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,400322560.4,33942,17168
"[67, 17228]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,413163030.4,34456,17598
"[68, 17485]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,423460246.3,34970,18125
"[69, 17742]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,432823526.4,35484,18787
"[70, 18000]",<function CalculateWeightLogistic at 0x0000014ED24998B0>,445502105.8,36000,20066
