"[1, 257]",<function CalculateWeightGompertz at 0x00000209F762A940>,0,0,0
"[2, 514]",<function CalculateWeightGompertz at 0x00000209F762A940>,310970000,28270,28270
"[3, 771]",<function CalculateWeightGompertz at 0x00000209F762A940>,313797000,28527,28527
"[4, 1028]",<function CalculateWeightGompertz at 0x00000209F762A940>,316624000,28784,28784
"[5, 1285]",<function CalculateWeightGompertz at 0x00000209F762A940>,310970000,28270,28270
"[6, 1542]",<function CalculateWeightGompertz at 0x00000209F762A940>,305316000,27756,27756
"[7, 1800]",<function CalculateWeightGompertz at 0x00000209F762A940>,316800000,28800,28800
"[8, 2057]",<function CalculateWeightGompertz at 0x00000209F762A940>,316778000,28798,28798
"[9, 2314]",<function CalculateWeightGompertz at 0x00000209F762A940>,305448000,27768,27768
"[10, 2571]",<function CalculateWeightGompertz at 0x00000209F762A940>,311091000,28281,28281
"[11, 2828]",<function CalculateWeightGompertz at 0x00000209F762A940>,311080000,28280,28280
"[12, 3085]",<function CalculateWeightGompertz at 0x00000209F762A940>,305415000,27765,27765
"[13, 3342]",<function CalculateWeightGompertz at 0x00000209F762A940>,294096000,26736,26736
"[14, 3600]",<function CalculateWeightGompertz at 0x00000209F762A940>,316800000,28800,28800
"[15, 3857]",<function CalculateWeightGompertz at 0x00000209F762A940>,339416000,30856,30856
"[16, 4114]",<function CalculateWeightGompertz at 0x00000209F762A940>,316778000,28798,28798
"[17, 4371]",<function CalculateWeightGompertz at 0x00000209F762A940>,336567000,30597,30597
"[18, 4628]",<function CalculateWeightGompertz at 0x00000209F762A940>,305448000,27768,27768
"[19, 4885]",<function CalculateWeightGompertz at 0x00000209F762A940>,322410000,29310,29310
"[20, 5142]",<function CalculateWeightGompertz at 0x00000209F762A940>,282810000,25710,25710
"[21, 5400]",<function CalculateWeightGompertz at 0x00000209F762A940>,356400000,32400,32400
"[22, 5657]",<function CalculateWeightGompertz at 0x00000209F762A940>,311135000,28285,28285
"[23, 5914]",<function CalculateWeightGompertz at 0x00000209F762A940>,325270000,29570,29570
"[24, 6171]",<function CalculateWeightGompertz at 0x00000209F762A940>,271524000,24684,24684
"[25, 6428]",<function CalculateWeightGompertz at 0x00000209F762A940>,353540000,32140,32140
"[26, 6685]",<function CalculateWeightGompertz at 0x00000209F762A940>,294140000,26740,26740
"[27, 6942]",<function CalculateWeightGompertz at 0x00000209F762A940>,305448000,27768,27768
"[28, 7200]",<function CalculateWeightGompertz at 0x00000209F762A940>,316800000,28800,28800
"[29, 7457]",<function CalculateWeightGompertz at 0x00000209F762A940>,246081000,22371,22371
"[30, 7714]",<function CalculateWeightGompertz at 0x00000209F762A940>,339416000,30856,30856
"[31, 7971]",<function CalculateWeightGompertz at 0x00000209F762A940>,350724000,31884,31884
"[32, 8228]",<function CalculateWeightGompertz at 0x00000209F762A940>,362032000,32912,32912
"[33, 8485]",<function CalculateWeightGompertz at 0x00000209F762A940>,280005000,25455,25455
"[34, 8742]",<function CalculateWeightGompertz at 0x00000209F762A940>,288486000,26226,26226
"[35, 9000]",<function CalculateWeightGompertz at 0x00000209F762A940>,297000000,27000,27000
"[36, 9257]",<function CalculateWeightGompertz at 0x00000209F762A940>,305481000,27771,27771
"[37, 9514]",<function CalculateWeightGompertz at 0x00000209F762A940>,313962000,28542,28542
"[38, 9771]",<function CalculateWeightGompertz at 0x00000209F762A940>,322443000,29313,29313
"[39, 10028]",<function CalculateWeightGompertz at 0x00000209F762A940>,330924000,30084,30084
"[40, 10285]",<function CalculateWeightGompertz at 0x00000209F762A940>,339405000,30855,30855
"[41, 10542]",<function CalculateWeightGompertz at 0x00000209F762A940>,347886000,31626,31626
"[42, 10800]",<function CalculateWeightGompertz at 0x00000209F762A940>,356400000,32400,32400
"[43, 11057]",<function CalculateWeightGompertz at 0x00000209F762A940>,243254000,22114,22114
"[44, 11314]",<function CalculateWeightGompertz at 0x00000209F762A940>,248908000,22628,22628
"[45, 11571]",<function CalculateWeightGompertz at 0x00000209F762A940>,254562000,23142,23142
"[46, 11828]",<function CalculateWeightGompertz at 0x00000209F762A940>,260216000,23656,23656
"[47, 12085]",<function CalculateWeightGompertz at 0x00000209F762A940>,265870000,24170,24170
