"[60, 15428]",<function CalculateWeightGompertz at 0x00000204E4FCA940>,169708000,15428,15428
"[61, 15685]",<function CalculateWeightGompertz at 0x00000204E4FCA940>,172535000,15685,15685
"[62, 15942]",<function CalculateWeightGompertz at 0x00000204E4FCA940>,175362000,15942,15942
"[63, 16200]",<function CalculateWeightGompertz at 0x00000204E4FCA940>,385284532.9,32400,26142
"[64, 16457]",<function CalculateWeightGompertz at 0x00000204E4FCA940>,362054000,32914,32914
"[65, 16714]",<function CalculateWeightGompertz at 0x00000204E4FCA940>,183854000,16714,16714
"[66, 16971]",<function CalculateWeightGompertz at 0x00000204E4FCA940>,186681000,16971,16971
"[67, 17228]",<function CalculateWeightGompertz at 0x00000204E4FCA940>,189508000,17228,17228
"[68, 17485]",<function CalculateWeightGompertz at 0x00000204E4FCA940>,192335000,17485,17485
"[69, 17742]",<function CalculateWeightGompertz at 0x00000204E4FCA940>,195162000,17742,17742
"[70, 18000]",<function CalculateWeightGompertz at 0x00000204E4FCA940>,198000000,18000,18000
