,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,"[1, 257]","[2, 514]","[3, 771]","[4, 1028]","[5, 1285]","[6, 1542]","[7, 1800]","[8, 2057]","[9, 2314]","[10, 2571]","[11, 2828]","[12, 3085]","[13, 3342]","[14, 3600]","[15, 3857]","[16, 4114]","[17, 4371]","[18, 4628]","[19, 4885]","[20, 5142]","[21, 5400]","[22, 5657]","[23, 5914]","[24, 6171]","[25, 6428]","[26, 6685]","[27, 6942]","[28, 7200]","[29, 7457]","[30, 7714]","[31, 7971]","[32, 8228]","[33, 8485]","[34, 8742]","[35, 9000]","[36, 9257]","[37, 9514]","[38, 9771]","[39, 10028]","[40, 10285]","[41, 10542]","[42, 10800]","[43, 11057]","[44, 11314]","[45, 11571]","[46, 11828]","[47, 12085]","[48, 12342]","[49, 12600]","[50, 12857]","[51, 13114]","[52, 13371]","[53, 13628]","[54, 13885]","[55, 14142]","[56, 14400]","[57, 14657]","[58, 14914]","[59, 15171]","[60, 15428]","[61, 15685]","[62, 15942]","[63, 16200]","[64, 16457]","[65, 16714]","[66, 16971]","[67, 17228]","[68, 17485]","[69, 17742]","[70, 18000]"
1,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>,<function CalculateWeightLogistic at 0x000001CCC8E098B0>
2,0,317747809.448487,315691803.1316439,321936355.3950163,314540428.46053886,309639814.7704667,314639823.9195663,328528185.61831546,324207188.16336274,298691068.41785234,334624806.70320225,322094019.8458269,314388427.98035747,337630497.97423065,326715097.97604275,334860133.54903245,345889736.8804957,334589659.00723016,334421653.4120668,292350997.76339555,322901525.9094001,334690324.3550499,334670073.5518883,302987153.80086976,296086083.23612666,297740134.23735875,322548019.3651827,354625370.96476865,260032760.36689985,275133760.55069125,357550297.63575876,379886598.0786203,318979946.4641162,300106721.0860306,314936060.1129519,329792265.6311288,240326136.90650743,331796813.3409888,349618507.6143369,349399338.06526816,344746969.2817147,367467060.54169,260171387.14294136,272410244.67082775,284410753.96093416,296627853.63355535,309186766.6833894,321506119.54883325,322761955.4131994,282854000.0,399388159.04245746,264090733.0598821,273348733.47261035,285799226.04699385,310461031.52692306,330554299.6159903,341987631.07743835,353555201.9394332,366090659.603781,378046772.28344965,390158895.72289854,402659993.91898966,415211085.47827,427485005.2049777,250929329.55817035,232223883.2995342,189508000.0,192335000.0,195162000.0,198000000.0
3,0,27242,26985,27756,26985,26214,27000,28798,27768,25710,28280,27765,26736,28800,26999,28798,30597,27768,29310,25710,27000,28285,29570,24684,25712,26740,27768,28800,22371,23142,31884,32912,25455,26226,27000,27771,19028,29313,30084,30855,31626,32400,22114,22628,23142,23656,24170,24684,25200,25714,39342,26742,27256,27770,28284,28800,29314,29828,30342,30856,31370,31884,32400,32914,16714,16971,17228,17485,17742,18000
4,0,14906,14649,15420,15420,13878,14400,16456,13884,15426,14140,15425,13368,14400,15428,16456,17484,13884,14657,14379,16201,11314,17742,12353,19284,13370,13886,14791,14914,15428,15942,16471,9717,17484,18000,18514,9514,9771,10245,14574,21084,21600,11057,11314,11571,11828,12086,12430,15066,25714,26228,13371,13628,13885,14142,14400,14657,14914,15171,15428,15685,15942,16203,16557,1223,7040,17228,17485,17742,18000
