,pigID,weight,backFat,farm,dayInseminated,birthingDate,aliveBooelan,sowNumber,sowParity,initialAge,growth_constant,earning,aliveBoolean,liveWeight,deathDate
28786,28787.0,93.57683292463179,12.009851514544147,3.0,141.0,253.0,,300.0,0.0,0.0,0.01960269805254207,14036.524938694769,1.0,124.10720547033394,177.0
30839,30840.0,93.39398013965379,11.988409019798949,1.0,176.0,292.0,,53.0,0.0,0.0,0.019579837575152154,14009.09702094807,1.0,123.86469514542944,177.0
28700,28701.0,93.30399454100727,11.977856729187932,3.0,141.0,253.0,,294.0,0.0,0.0,0.019568588571541014,13995.59918115109,1.0,123.74535085014226,177.0
73,74.0,93.15247229187429,11.96008825477719,1.0,1.0,115.0,,5.0,0.0,63.0,0.01954964850493025,13972.870843781144,1.0,123.54439296004549,177.0
17384,17385.0,92.86781594700226,11.926707619202837,3.0,71.0,188.0,,337.0,0.0,0.0,0.0195140718509465,13930.17239205034,1.0,123.16686465119662,177.0
23891,23892.0,92.56774158017218,11.891518967114783,3.0,106.0,220.0,,369.0,0.0,0.0,0.01947657462251011,13885.161237025828,1.0,122.76888803736364,177.0
1847,1848.0,92.56726084285434,11.891462592761977,1.0,1.0,116.0,,116.0,0.0,62.0,0.019476514554505473,13885.08912642815,1.0,122.76825045471398,177.0
19340,19341.0,92.56268515618973,11.890926018286105,1.0,106.0,223.0,,84.0,0.0,0.0,0.019475942824366578,13884.40277342846,1.0,122.76218190476092,177.0
31107,31108.0,92.56087462048073,11.890713703212912,1.0,176.0,292.0,,70.0,0.0,0.0,0.01947571659905334,13884.13119307211,1.0,122.75978066376756,177.0
26259,26260.0,92.44800847360209,11.877478292214674,2.0,141.0,257.0,,142.0,0.0,0.0,0.01946161444799807,13867.201271040312,1.0,122.61009081379586,177.0
14108,14109.0,92.43995533923864,11.87653392983435,2.0,71.0,185.0,,132.0,0.0,0.0,0.019460608272461686,13865.993300885795,1.0,122.59941026424222,177.0
18872,18873.0,92.41401199614359,11.87349164640369,1.0,106.0,222.0,,55.0,0.0,0.0,0.019457366882952198,13862.101799421538,1.0,122.56500264740528,177.0
27406,27407.0,92.34256708953953,11.865113556703754,2.0,141.0,252.0,,213.0,0.0,0.0,0.019448440682446243,13851.38506343093,1.0,122.47024812936277,177.0
1739,1740.0,92.31741243441549,11.86216375990203,1.0,1.0,116.0,,109.0,0.0,62.0,0.019445297973914342,13847.611865162324,1.0,122.43688651779242,177.0
29850,29851.0,92.31686857452466,11.862099983389944,3.0,141.0,257.0,,366.0,0.0,0.0,0.01944523002691987,13847.530286178699,1.0,122.43616521820248,177.0
32478,32479.0,92.28779872365284,11.858691065529394,2.0,176.0,288.0,,155.0,0.0,0.0,0.019441598216653824,13843.169808547926,1.0,122.39761103932737,177.0
30604,30605.0,92.25767473672093,11.85515853288807,1.0,176.0,293.0,,38.0,0.0,0.0,0.019437834758247265,13838.65121050814,1.0,122.35765880201716,177.0
35879,35880.0,92.20656926284767,11.84916557601235,3.0,176.0,291.0,,368.0,0.0,0.0,0.019431450147029485,13830.98538942715,1.0,122.28987965894916,177.0
31207,31208.0,92.19098922756957,11.847338560773721,1.0,176.0,288.0,,76.0,0.0,0.0,0.019429503759463174,13828.648384135437,1.0,122.26921648218776,177.0
35348,35349.0,92.17105208746531,11.845000603372792,3.0,176.0,292.0,,335.0,0.0,0.0,0.019427013064608912,13825.657813119797,1.0,122.24277465181076,177.0
16991,16992.0,92.1621768879753,11.843959840343397,3.0,71.0,184.0,,312.0,0.0,0.0,0.019425904315726657,13824.326533196296,1.0,122.23100383020598,177.0
24999,25000.0,92.16081969351772,11.843800686983887,1.0,141.0,254.0,,63.0,0.0,0.0,0.019425734766335696,13824.122954027658,1.0,122.22920383755665,177.0
12913,12914.0,92.12996545457703,11.84018252029076,1.0,71.0,186.0,,58.0,0.0,0.0,0.01942188028329861,13819.494818186555,1.0,122.18828309625601,177.0
7215,7216.0,92.12235045251536,11.839289536124772,1.0,36.0,147.0,,76.0,0.0,31.0,0.019420928982324576,13818.352567877304,1.0,122.17818362402568,177.0
28132,28133.0,92.1223417830862,11.839288519491697,3.0,141.0,255.0,,259.0,0.0,0.0,0.019420927899301395,13818.35126746293,1.0,122.17817212610902,177.0
12724,12725.0,92.09032570122992,11.835534107618518,1.0,71.0,184.0,,46.0,0.0,0.0,0.019416928335220428,13813.548855184486,1.0,122.13571047908476,177.0
