,pigID,weight,backFat,farm,dayInseminated,birthingDate,aliveBooelan,sowNumber,sowParity,initialAge,growth_constant,earning,aliveBoolean,liveWeight,deathDate
33942,33943.0,115.4475337548037,14.574550694166701,2.0,176.0,290.0,,247.0,0.0,0.0,0.019642441120438774,11000.0,1.0,153.11343999310836,202.0
15486,15487.0,115.17608218314427,14.542718535309598,2.0,71.0,186.0,,218.0,0.0,17.0,0.01961031727747465,11000.0,1.0,152.75342464607994,202.0
966,967.0,115.07516374275569,14.530884189291921,1.0,1.0,116.0,,61.0,0.0,87.0,0.019598389017691266,11000.0,1.0,152.61958056068394,202.0
10029,10030.0,115.02471674696108,14.524968449794885,3.0,36.0,151.0,,252.0,0.0,52.0,0.01959242926223805,11000.0,1.0,152.5526747307176,202.0
32160,32161.0,114.87913081256146,14.507896105866877,2.0,176.0,292.0,,136.0,0.0,0.0,0.019575240783156707,11000.0,1.0,152.35958993708417,202.0
904,905.0,114.51894230219041,14.46565808230141,1.0,1.0,116.0,,57.0,0.0,87.0,0.019532784265916255,11000.0,1.0,151.8818863424276,202.0
16355,16356.0,114.2959825895076,14.439512391011187,3.0,71.0,186.0,,273.0,0.0,17.0,0.019506551810144542,11000.0,1.0,151.586183805713,202.0
926,927.0,114.28830439585076,14.438611996591932,1.0,1.0,114.0,,58.0,0.0,89.0,0.019505649081111343,11000.0,1.0,151.576000525001,202.0
18288,18289.0,114.28592256451974,14.438332687716185,1.0,106.0,222.0,,19.0,0.0,0.0,0.01950536905682431,11000.0,1.0,151.57284159750628,202.0
5887,5888.0,114.16941184939675,14.424669891182434,3.0,1.0,115.0,,368.0,0.0,88.0,0.019491676342260573,11000.0,1.0,151.41831810264821,202.0
280,281.0,114.09825548791603,14.416325638141272,1.0,1.0,114.0,,18.0,0.0,89.0,0.019483318695155613,11000.0,1.0,151.32394627044567,202.0
11102,11103.0,114.01548989691884,14.406620012108537,3.0,36.0,150.0,,319.0,0.0,53.0,0.019473602120267535,11000.0,1.0,151.21417758212047,202.0
16614,16615.0,113.96863994646074,14.401126085304897,3.0,71.0,184.0,,289.0,0.0,19.0,0.01946810419491669,11000.0,1.0,151.15204236931132,202.0
24651,24652.0,113.91604109086082,14.394958004873743,1.0,141.0,256.0,,41.0,0.0,0.0,0.019461933513320772,11000.0,1.0,151.08228261387376,202.0
10915,10916.0,113.91496951870384,14.394832345423998,3.0,36.0,152.0,,308.0,0.0,51.0,0.01946180782159884,11000.0,1.0,151.0808614306417,202.0
6684,6685.0,113.85401440240064,14.387684356066428,1.0,36.0,154.0,,43.0,0.0,49.0,0.019454659355769618,11000.0,1.0,151.0000191013271,202.0
26938,26939.0,113.79240344159145,14.38045945815986,2.0,141.0,255.0,,184.0,0.0,0.0,0.019447436685012785,11000.0,1.0,150.9183069517128,202.0
19071,19072.0,113.72355227943676,14.372385527632193,1.0,106.0,219.0,,67.0,0.0,0.0,0.019439368454136532,11000.0,1.0,150.8269924130461,202.0
10910,10911.0,113.69278390552205,14.368777430024801,3.0,36.0,150.0,,307.0,0.0,53.0,0.019435763995990774,11000.0,1.0,150.78618555109026,202.0
4554,4555.0,113.64483515873147,14.36315465128933,3.0,1.0,116.0,,285.0,0.0,87.0,0.019430148230424236,11000.0,1.0,150.72259304871548,202.0
33269,33270.0,113.63601017882,14.362119777331019,2.0,176.0,288.0,,205.0,0.0,0.0,0.019429114825032442,11000.0,1.0,150.71088883132626,202.0
17228,17229.0,113.630603594151,14.361485766405954,3.0,71.0,189.0,,327.0,0.0,14.0,0.019428481741090704,11000.0,1.0,150.70371829462997,202.0
32370,32371.0,113.57561044319003,14.355036915486652,2.0,176.0,291.0,,149.0,0.0,0.0,0.019422043494813288,11000.0,1.0,150.63078308115388,202.0
14392,14393.0,113.52029321146816,14.348550060770943,2.0,71.0,185.0,,150.0,0.0,18.0,0.019415569462725407,11000.0,1.0,150.55741805234504,202.0
34011,34012.0,113.490947573639,14.345108802356302,3.0,176.0,292.0,,251.0,0.0,0.0,0.019412135882037704,11000.0,1.0,150.51849810827454,202.0
