,pigID,weight,backFat,farm,dayInseminated,birthingDate,aliveBooelan,sowNumber,sowParity,initialAge,growth_constant,earning,aliveBoolean,liveWeight,deathDate
24768,24769.0,218.9861174445038,26.71615158342214,1.0,141.0,256.0,,49.0,0.0,0.0,1.4387437386022688,11000.0,1.0,290.43251650464697,197.0
20014,20015.0,216.80431422863532,26.460299292209037,2.0,106.0,223.0,,126.0,0.0,0.0,1.424055219732562,11000.0,1.0,287.53887828731473,197.0
15086,15087.0,216.17846798823464,26.386908532955857,2.0,71.0,185.0,,193.0,0.0,13.0,1.4198418451051895,11000.0,1.0,286.70884348572235,197.0
21474,21475.0,213.04353606450377,26.019286233359807,2.0,106.0,220.0,,218.0,0.0,0.0,1.3987365930906823,11000.0,1.0,282.5511088388644,197.0
4094,4095.0,209.56533138839458,25.61140956088161,3.0,1.0,115.0,,256.0,0.0,83.0,1.375320331419533,11000.0,1.0,277.938105289648,197.0
22115,22116.0,204.71953724488571,25.043160543121196,3.0,106.0,222.0,,258.0,0.0,0.0,1.342697069065732,11000.0,1.0,271.5113226059492,197.0
33821,33822.0,201.0931033850895,24.61790156228672,2.0,176.0,291.0,,239.0,0.0,0.0,1.3182828864337037,11000.0,1.0,266.70172862743965,197.0
25281,25282.0,198.99482270595627,24.3718436614367,1.0,141.0,257.0,,81.0,0.0,0.0,1.304156665001254,11000.0,1.0,263.91886300524703,197.0
11905,11906.0,198.77789851036627,24.346405733736532,3.0,36.0,151.0,,370.0,0.0,47.0,1.3026962697112274,11000.0,1.0,263.6311651331118,197.0
18774,18775.0,198.40863407588114,24.303103408880013,1.0,106.0,222.0,,49.0,0.0,0.0,1.3002102766691428,11000.0,1.0,263.14142450382116,197.0
7068,7069.0,197.89722570418286,24.243132370844627,1.0,36.0,151.0,,67.0,0.0,47.0,1.2967673302736191,11000.0,1.0,262.463164063903,197.0
11100,11101.0,197.4721190055484,24.19328162258988,3.0,36.0,150.0,,319.0,0.0,48.0,1.2939053912503762,11000.0,1.0,261.8993620763241,197.0
2056,2057.0,196.5378136942639,24.083718966871842,2.0,1.0,116.0,,129.0,0.0,82.0,1.2876153825570822,11000.0,1.0,260.6602303637452,197.0
33702,33703.0,195.8129753300296,23.998719753881552,2.0,176.0,290.0,,232.0,0.0,0.0,1.2827355648388261,11000.0,1.0,259.6989062732488,197.0
