,pigID,weight,backFat,farm,dayInseminated,birthingDate,aliveBooelan,sowNumber,sowParity,initialAge,growth_constant,earning,aliveBoolean,liveWeight,deathDate
1847,1848.0,235.00007369457103,28.59405118874247,1.0,1.0,114.0,,116.0,0.0,98.0,1.4439392666886937,11000.0,1.0,311.67118527131436,211.0
28500,28501.0,229.55189365108973,27.955162522281633,3.0,141.0,258.0,,282.0,0.0,0.0,1.4096942288904026,11000.0,1.0,304.44548229587497,211.0
28635,28636.0,227.63753731527666,27.730672774006543,3.0,141.0,252.0,,290.0,0.0,0.0,1.3976613657037766,11000.0,1.0,301.9065481634969,211.0
41880,41881.0,227.5776559848299,27.723650703691376,3.0,211.0,325.0,,368.0,0.0,0.0,1.3972849760822528,11000.0,1.0,301.8271299533553,211.0
8584,8585.0,225.59253063784848,27.49086212556646,2.0,36.0,150.0,,162.0,0.0,62.0,1.384807287753457,11000.0,1.0,299.19433771597943,211.0
29594,29595.0,225.5461680320292,27.48542534793262,3.0,141.0,254.0,,350.0,0.0,0.0,1.3845158713215406,11000.0,1.0,299.1328488488451,211.0
3974,3975.0,224.47864333289525,27.36024052914901,2.0,1.0,116.0,,249.0,0.0,96.0,1.3778058464360394,11000.0,1.0,297.7170335980043,211.0
8273,8274.0,224.42727371667607,27.354216597241297,2.0,36.0,151.0,,143.0,0.0,61.0,1.3774829579787804,11000.0,1.0,297.64890413352265,211.0
14559,14560.0,224.21512477841603,27.32933864695802,2.0,71.0,184.0,,160.0,0.0,28.0,1.3761494762745046,11000.0,1.0,297.36753949392045,211.0
2464,2465.0,222.1426342377982,27.08630506378335,2.0,1.0,118.0,,155.0,0.0,94.0,1.3631226459690384,11000.0,1.0,294.6188782994671,211.0
26828,26829.0,220.89131426635487,26.93956722812247,2.0,141.0,256.0,,177.0,0.0,0.0,1.355257358959828,11000.0,1.0,292.9593027405237,211.0
16403,16404.0,217.69495549038933,26.56474162037656,3.0,71.0,186.0,,276.0,0.0,26.0,1.335166351279051,11000.0,1.0,288.72010011987976,211.0
32572,32573.0,216.15209599129625,26.383815982815918,2.0,176.0,289.0,,161.0,0.0,0.0,1.3254685656988714,11000.0,1.0,286.67386736246186,211.0
34913,34914.0,215.94652751227878,26.359709699547437,3.0,176.0,294.0,,308.0,0.0,0.0,1.324176446077657,11000.0,1.0,286.40123012238564,211.0
