,pigID,weight,backFat,farm,dayInseminated,birthingDate,aliveBooelan,sowNumber,sowParity,initialAge,growth_constant,earning,aliveBoolean,liveWeight,deathDate
16958,16959.0,114.85570277245364,14.505148783057642,3.0,71.0,186.0,,310.0,0.0,0.0,0.02221146184216382,11000.0,1.0,152.32851826585363,178.0
6233,6234.0,114.49814455225052,14.463219204250677,1.0,36.0,148.0,,15.0,0.0,31.0,0.022163639432256826,11000.0,1.0,151.85430311969566,178.0
16919,16920.0,114.2920227815826,14.439048038441255,3.0,71.0,186.0,,308.0,0.0,0.0,0.022136120349029342,11000.0,1.0,151.58093207106447,178.0
26170,26171.0,114.25492712202075,14.434697962584764,2.0,141.0,257.0,,136.0,0.0,0.0,0.022131171523198993,11000.0,1.0,151.53173358358188,178.0
11510,11511.0,114.14529400712651,14.421841677730791,3.0,36.0,152.0,,345.0,0.0,27.0,0.02211655236790446,11000.0,1.0,151.38633157443834,178.0
23888,23889.0,114.07236505038708,14.41328955875789,3.0,106.0,220.0,,369.0,0.0,0.0,0.02210683308211043,11000.0,1.0,151.289608820142,178.0
31036,31037.0,113.78579966948091,14.37968505732809,1.0,176.0,291.0,,65.0,0.0,0.0,0.02206868461903945,11000.0,1.0,150.9095486332638,178.0
28860,28861.0,113.71696530320055,14.371613096392776,3.0,141.0,256.0,,304.0,0.0,0.0,0.02205953113798677,11000.0,1.0,150.81825637029252,178.0
7112,7113.0,113.59231464154111,14.356995757324412,1.0,36.0,150.0,,70.0,0.0,29.0,0.02204296503162977,11000.0,1.0,150.65293719037282,178.0
20825,20826.0,113.55349927391808,14.352444017429447,2.0,106.0,222.0,,177.0,0.0,0.0,0.022037809008770663,11000.0,1.0,150.60145792296828,178.0
10718,10719.0,113.53688688329221,14.35049594155659,3.0,36.0,149.0,,295.0,0.0,30.0,0.02203560267773859,11000.0,1.0,150.5794255746581,178.0
15749,15750.0,113.53277755030767,14.350014054715556,2.0,71.0,186.0,,235.0,0.0,0.0,0.0220350569415403,11000.0,1.0,150.57397553091204,178.0
30913,30914.0,113.51131886541779,14.347497671177589,1.0,176.0,289.0,,58.0,0.0,0.0,0.022032207359921598,11000.0,1.0,150.54551573662837,178.0
10762,10763.0,113.48291925198924,14.344167349674525,3.0,36.0,150.0,,298.0,0.0,29.0,0.02202843663112633,11000.0,1.0,150.50785046682924,178.0
2402,2403.0,113.43090807744628,14.338068184507511,2.0,1.0,111.0,,151.0,0.0,68.0,0.02202153256936632,11000.0,1.0,150.4388701292391,178.0
33750,33751.0,113.42716801811817,14.33762960107276,2.0,176.0,291.0,,235.0,0.0,0.0,0.02202103618980414,11000.0,1.0,150.433909838353,178.0
6429,6430.0,113.39474703954079,14.333827708403401,1.0,36.0,148.0,,27.0,0.0,31.0,0.022016733753034527,11000.0,1.0,150.39091119302492,178.0
14294,14295.0,113.3444997404122,14.327935386623041,2.0,71.0,188.0,,144.0,0.0,0.0,0.022010067316438522,11000.0,1.0,150.32427021274827,178.0
16731,16732.0,113.30461201434963,14.323257895073775,3.0,71.0,184.0,,296.0,0.0,0.0,0.02200477673381077,11000.0,1.0,150.2713687192966,178.0
6016,6017.0,113.30164274232655,14.322909699120622,1.0,36.0,148.0,,2.0,0.0,31.0,0.022004382949185983,11000.0,1.0,150.2674306927408,178.0
6921,6922.0,113.0663781199976,14.29532105490814,1.0,36.0,150.0,,58.0,0.0,29.0,0.02197320420658319,11000.0,1.0,149.95540864721167,178.0
29844,29845.0,113.0513555303686,14.293559409335073,3.0,141.0,255.0,,366.0,0.0,0.0,0.021971214789971192,11000.0,1.0,149.93548478828725,178.0
2192,2193.0,113.02415029274304,14.290369148027882,2.0,1.0,119.0,,138.0,0.0,60.0,0.021967612492672463,11000.0,1.0,149.89940357127725,178.0
35805,35806.0,113.02101715571166,14.290001736208916,3.0,176.0,289.0,,363.0,0.0,0.0,0.02196719766500202,11000.0,1.0,149.89524821712422,178.0
16163,16164.0,112.98496416967814,14.285773930962932,3.0,71.0,186.0,,261.0,0.0,0.0,0.02196242479464696,11000.0,1.0,149.84743258578,178.0
